利用日,利用店名・利用先,支払方法,利用金額
2026/05/03,マクドナルド大井町店,1回払い,1057
2026/05/03,東京ガス,リボ払い,3839
2026/05/05,西友大井町店,1回払い,1444
2026/05/05,スターバックス目黒店,リボ払い,738
2026/05/05,TOHOシネマズ品川,リボ払い,1954
2026/05/06,東京電力エナジーパートナー,リボ払い,11323
2026/05/07,マクドナルド大井町店,リボ払い,1519
2026/05/07,サイゼリヤ大森店,1回払い,2657
2026/05/07,東京都水道局,2回払い,2653
2026/05/07,ソフトバンク光,1回払い,5418
2026/05/08,サイゼリヤ大森店,1回払い,1318
2026/05/08,東京都水道局,1回払い,3378
2026/05/08,東京ガス,1回払い,3193
2026/05/10,セブンイレブン品川店,1回払い,935
2026/05/10,TOHOシネマズ品川,1回払い,2441
2026/05/10,東京ガス,リボ払い,6763
2026/05/10,東京電力エナジーパートナー,1回払い,7864
2026/05/12,ライフ緑ヶ丘店,1回払い,5522
2026/05/12,アカサカ薬局,1回払い,3333
2026/05/12,Netflix,1回払い,1490
2026/05/13,JR東日本 定期券,1回払い,8000
2026/05/14,東京都水道局,1回払い,3185
2026/05/15,セブンイレブン品川店,1回払い,978
2026/05/15,Netflix,1回払い,1490
2026/05/16,アカサカ薬局,1回払い,2294
2026/05/16,JR東日本 定期券,1回払い,8000
2026/05/16,大井町クリニック,1回払い,2593
2026/05/16,NTTドコモ,1回払い,7455
2026/05/17,楽天市場,1回払い,7473
2026/05/18,NTTドコモ,1回払い,7777
2026/05/19,大井町クリニック,1回払い,2828
2026/05/20,西友大井町店,2回払い,3784
2026/05/21,ライフ緑ヶ丘店,リボ払い,2728
2026/05/21,東京電力エナジーパートナー,1回払い,8577
2026/05/22,ENEOS大井町SS,2回払い,5633
2026/05/22,ファミリーマート大森店,1回払い,742
2026/05/22,マクドナルド大井町店,リボ払い,1749
2026/05/22,東京都水道局,1回払い,2791
2026/05/23,東京ガス,2回払い,7788
2026/05/23,Netflix,1回払い,1490
2026/05/24,ファミリーマート大森店,2回払い,1243
2026/05/28,アカサカ薬局,2回払い,1455
2026/05/30,ENEOS大井町SS,2回払い,5440
2026/05/30,Amazon.co.jp,リボ払い,5119
2026/05/30,イオン石川台店,1回払い,7072
2026/05/31,東京都水道局,1回払い,4625
2026/05/31,セブンイレブン品川店,2回払い,801
2026/06/01,NTTドコモ,1回払い,7006
2026/06/02,Amazon.co.jp,1回払い,2743
2026/06/03,ファミリーマート大森店,1回払い,965
2026/06/03,ソフトバンク光,1回払い,5495
2026/06/05,ソフトバンク光,1回払い,5009
2026/06/05,JR東日本 定期券,1回払い,8000
2026/06/07,Netflix,1回払い,1490
2026/06/08,ライフ緑ヶ丘店,1回払い,5363
2026/06/08,ファミリーマート大森店,リボ払い,1173
2026/06/08,ローソン五反田店,リボ払い,742
2026/06/09,スターバックス目黒店,1回払い,1052
2026/06/09,東京電力エナジーパートナー,2回払い,8553
2026/06/09,大井町クリニック,1回払い,4161
2026/06/09,NTTドコモ,1回払い,8770
2026/06/10,Amazon.co.jp,1回払い,8397
2026/06/10,マクドナルド大井町店,1回払い,1060
2026/06/10,スシロー大森店,リボ払い,2086
2026/06/11,Netflix,1回払い,1490
2026/06/12,東京電力エナジーパートナー,1回払い,11255
2026/06/13,JR東日本 定期券,1回払い,8000
2026/06/14,ライフ緑ヶ丘店,1回払い,1257
2026/06/16,サイゼリヤ大森店,2回払い,2370
2026/06/17,楽天市場,リボ払い,2583
2026/06/17,東京ガス,1回払い,6274
2026/06/18,マクドナルド大井町店,2回払い,1568
2026/06/18,スターバックス目黒店,1回払い,596
2026/06/18,大井町クリニック,1回払い,3265
2026/06/19,Times駐車場,1回払い,1456
2026/06/19,大井町クリニック,1回払い,4176
2026/06/19,西友大井町店,1回払い,4498
