"Name","Disc. Date","Host Name","z","dL (Mpc)","Type"
"SN1972E","1972/05/06","NGC 5253","0.001358","2.7","Ia"
"SN1895B","1895/07/07","NGC 5253","0.0014","2.7","Ia"
"SN1986G","1986/05/03","NGC 5128","0.00183,0.000848,0.00103","2.8","Ia-91bg"
"SN1937C","1937/08/16","IC 4182","0.001071,0.001071","3","Ia"
"SN1983N","1983/07/03","NGC 5236","0.00308,0.00321,0.00171","4.3","Ib"
"SN2021abt","2021/01/10","LEDA 1022096","0.001429","6.3312","Ia"
"SN2012cg","2012/05/17","NGC 4424","0.001458","6.4598","Ia"
"SN1937D","1937/09/09","NGC 1003","0.00518","8","Ia"
"SN1971I","1971/05/24","NGC 5055","0.00131,0.00344","8","Ia"
"SN2010el","2010/06/19","NGC 1566","0.005,0.005","8","Ia-02cx"
"SN2021qvv","2021/06/23","NGC 4442","0.001825","8.0881","Ia"
"SN2021hcz","2021/03/24","NGC 1400","0.001861,0.001769","8.2479","Ia"
"SN1989B","1989/01/30","NGC 3627","0.002425","9","Ia"
"SN2010ae","2010/02/22","ESO 162-G17","0.003662","9","Ia-02cx"
"SN1960H","1960/06/18","NGC 4096","0.0019","9","Ia"
"SN2013hg","2013/12/10","A120955+2953","0.002031","9.0025","Ia"
"SN1998bu","1998/05/09","NGC 3368","0.002992","9.9","Ia"
"SN1965I","1965/06/18","NGC 4753","0.00482,0.00525,0.00568","10","Ia"
"SN1983G","1983/04/04","NGC 4753","0.00206,0.00375,0.00412,0.00432,0.00618","10","Ia"
"SN2020ukx","2020/09/28","NGC 2784","0.002305","10.219","Ia"
"SN2021J","2021/01/01","NGC 4414","0.002388","10.588","Ia"
"SN1999cl","1999/05/29","NGC 4501","0.007609","11","Ia"
"SN1993af","1993/11/15","NGC 1808","0.0033","11","Ia"
"SN2005ew","2005/10/04","NSF J033923.74+350249.0","0.0025","11.1","Ia"
"SN1966J","1966/12/20","NGC 3198","0.0022","11.2","Ia"
"SN1994D","1994/03/07","NGC 4526","0.00149,0.00233,0.00253,0.00328,0.00149,0.00366,0.00389,0.00394,0.00412,0.00432","11.4","Ia"
"SN2020rcq","2020/08/09","UGC 6930","0.002597,0.002592","11.516","Ia"
"SN2006E","2006/01/12","NGC 5338","0.0027,0.002686","12","Ia"
"SN1999gs","1999/12/28","NGC 4725","0.004","12","Ia"
"SN2003if","2003/09/20","NGC 1302","0.0057","12","Ia"
"SN1981B","1981/03/02","NGC 4536","0.006031","12.3","Ia"
"SN1991T","1991/04/13","NGC 4527","0.005791,0.005791","12.6","Ia-91T"
"SN1980N","1980/12/07","NGC 1316","0.005871","12.6","Ia"
"SN2006mr","2006/11/05","NGC 1316","0.005508,0.005508","12.6","Ia Pec"
"SN1981D","1981/03/01","NGC 1316","0.005871","12.6","Ia"
"SN2006dd","2006/06/19","NGC 1316","0.005871","12.6","Ia"
"SN2011by","2011/04/26","NGC 3972","0.002843","12.61","Ia"
"SN1963I","1963/05/14","NGC 4178","0.0013","13","Ia"
"SN2020nvb","2020/07/01","NGC 4457","0.002939","13.036","Ia"
"SN1999by","1999/04/30","NGC 2841","0.002128","13.1","Ia Pec"
"SN1957A","1957/02/26","NGC 2841","0.0021","13.1","Ia"
"SN1939A","1939/01/17","NGC 4636","0.00312","13.5","Ia"
"SN1960F","1960/04/17","NGC 4496A","0.00312,0.00323,0.00337,0.00341,0.00398","13.6","Ia"
"SN2018pv","2018/02/03","NGC 3941","0.0031","13.8","Ia"
"SN2020ue","2020/01/12","NGC 4636","0.003129","13.881","Ia"
"SN2005df","2005/08/04","NGC 1559","0.004316","14","Ia"
"SN1996ai","1996/06/16","NGC 5005","0.00316,0.00316,0.00373","14","Ia"
"SN2006mq","2006/10/22","ESO 494-G26","0.0032","14.2","Ia"
"SN2020ufe","2020/09/25","","0.0032","14.2","Ia"
"SN1961H","1961/05/02","NGC 4564","0.003809,0.003809,0.00312,0.00518","14.6","Ia"
"SN1960R","1960/12/20","NGC 4382","0.002432","14.7","Ia"
"SN2021hiz","2021/03/30","IC 3322A","0.003319","14.726","Ia"
"SN2001el","2001/09/17","NGC 1448","0.00346,0.00364,0.00391,0.00405,0.00514,0.00536","15","Ia"
"SN2016ija","2016/11/22","NGC 1532","0.003468","15.389","Ia-91T"
"SN2021rhu","2021/07/01","NGC 7814","0.003502","15.54","Ia"
"SN1964E","1964/03/12","MCG +09-20-51","0.00554","15.7","Ia"
"SN2012ht","2012/12/18","NGC 3447","0.003559","15.794","Ia"
"SN2006X","2006/02/04","NGC 4321","0.00524,0.006322,0.00524,0.00357,0.00633","16","Ia"
"SN2007sr","2007/12/18","NGC 4038","0.005417","16","Ia"
"SN2020nlb","2020/06/25","M85","0.0036","16","Ia"
"SN1975A","1975/01/15","NGC 2207","0.00897,0.0105","16","Ia"
"SN2006ce","2006/05/10","NGC 908","0.00503","16","Ia"
"SN1999ec","1999/10/02","NGC 2207","0.0092","16","Ia/c"
"PSc100405","2010/11/24","","0.00362,0.104","16.07","Ia"
"SN2020qxp","2020/08/08","NGC 5002","0.003639","16.15","Ia"
"SN1974G","1974/04/20","NGC 4414","0.00394,0.00396,0.00425,0.00484","16.6","Ia"
"SN1963P","1963/09/18","NGC 1084","0.00436,0.00949","16.7","Ia"
"SN1979B","1979/02/28","NGC 3913","0.00318,0.0032,0.0048","17","Ia"
"SN2001dp","2001/08/12","NGC 3953","0.0035","17","Ia"
"SN1963J","1963/05/18","NGC 3913","0.00318,0.0105","17","Ia"
"SN2013ct","2013/05/10","NGC 428","0.003843","17.058","Ia"
"asassn-14lp","2014/12/09","NGC 4666","0.003856","17.116","Ia"
"SN2013dy","2013/07/10","NGC 7250","0.003889","17.263","Ia"
"SN2021pit","2021/06/10","NGC 1448","0.003896","17.294","Ia"
"SN1991bg","1991/12/03","NGC 4374","0.003539","17.5","Ia Pec"
"SN1957B","1957/04/23","NGC 4374","0.00312,0.00375,0.00434,0.00659","17.5","Ia"
"SN1992A","1992/01/11","NGC 1380","0.00421,0.00626,0.00473,0.00545,0.00548,0.00421","17.5","Ia"
"SN1980I","1980/06/13","NGC 4374","0.0033","17.5","Ia"
"SN2013aa","2013/02/13","NGC 5643","0.003999","17.752","Ia"
"SN2017cbv","2017/03/10","NGC 5643","0.003999","17.752","Ia"
"SN2004W","2004/01/28","NGC 4649","0.003729","17.8","Ia"
"SN1967C","1967/02/28","NGC 3389","0.00433,0.00722,0.00742,0.00749","18","Ia"
"SN2014dg","2014/09/11","UGC 2855","0.004","18","Ia"
"SN1983U","1983/11/04","NGC 3227","0.0038","18","Ia"
"SN1998D","1998/01/28","NGC 5440","0.00412,0.0123","18","Ia"
"SN2008ge","2008/10/08","NGC 1527","0.003916,0.004043","18","Ia-02cx"
"SN2015bp","2015/03/16","NGC 5839","0.004069","18.064","Ia"
"SN2007on","2007/11/05","NGC 1404","0.006494,0.006182","18.1","Ia"
"SN2018imd","2018/11/14","NGC 4697","0.00414","18.38","Ia"
"SN2021smj","2021/07/08","NGC 4411b","0.004243","18.839","Ia"
"SN2007af","2007/03/01","NGC 5584","0.005464,0.005464","19","Ia"
"SN2007le","2007/10/13","NGC 7721","0.006721,0.005522","19","Ia"
"SN2003gs","2003/07/29","NGC 936","0.00477","19","Ia Pec"
"SN1993L","1993/04/30","IC 5270","0.006616","19","Ia"
"SN1974J","1974/10/09","NGC 7343","0.0222","19","Ia"
"SN1956A","1956/03/08","NGC 3992","0.00514,0.00559","19","Ia"
"SN2004ab","2004/02/21","NGC 5054","0.0058,0.0058","19","Ia"
"SN2007gi","2007/07/31","NGC 4036","0.00482","19","Ia"
"SN1985A","1985/01/25","NGC 2748","0.0049","19","Ia"
"SN1990aj","1990/12/18","NGC 1640","0.005344","19","Ia/c"
"SN2011iy","2011/12/09","NGC 4984","0.0043","19.1","Ia"
"ASASSN-14gh","2014/08/28","SDSS J171509.41+414836.1","0.0044","19.5","Ia"
"SN1990N","1990/06/23","NGC 4639","0.003399,0.003395","19.7","Ia"
"SN2016coj","2016/05/28","NGC 4125","0.004483","19.908","Ia"
"SN1997br","1997/04/10","ESO 576-40","0.006941","20","Ia Pec"
"SN2007bm","2007/04/20","NGC 3672","0.006211,0.007441,0.006211","20","Ia"
"SN2008ha","2008/11/07","UGC 12682","0.004623","20","Ia Pec"
"SN2010ev","2010/06/27","NGC 3244","0.009211","20","Ia"
"SN1989M","1989/06/28","NGC 4579","0.00507","20","Ia"
"SN2019np","2019/01/09","NGC 3254","0.00452","20.07","Ia"
"SN1998aq","1998/04/13","NGC 3982","0.003699,0.003699","20.7","Ia"
"SN2003hv","2003/09/09","NGC 1201","0.005601,0.005624","20.7","Ia"
"SN2011B","2011/01/07","NGC 2655","0.00467","20.74","Ia"
